tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1346,1/1/2015 0:01,1/1/2015 0:24,455,1 Ave & E 44 St,40.75001986,-73.96905301,265,Stanton St & Chrystie St,40.72229346,-73.99147535,18660,Subscriber,1960,2
363,1/1/2015 0:02,1/1/2015 0:08,434,9 Ave & W 18 St,40.74317449,-74.00366443,482,W 15 St & 7 Ave,40.73935542,-73.99931783,16085,Subscriber,1963,1
346,1/1/2015 0:04,1/1/2015 0:10,491,E 24 St & Park Ave S,40.74096374,-73.98602213,505,6 Ave & W 33 St,40.74901271,-73.98848395,20845,Subscriber,1974,1
182,1/1/2015 0:04,1/1/2015 0:07,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,19610,Subscriber,1969,1
969,1/1/2015 0:05,1/1/2015 0:21,474,5 Ave & E 29 St,40.7451677,-73.98683077,432,E 7 St & Avenue A,40.72621788,-73.98379855,20197,Subscriber,1977,1
496,1/1/2015 0:07,1/1/2015 0:15,512,W 29 St & 9 Ave,40.7500727,-73.99839279,383,Greenwich Ave & Charles St,40.735238,-74.000271,20788,Subscriber,1969,2
152,1/1/2015 0:07,1/1/2015 0:09,498,Broadway & W 32 St,40.74854862,-73.98808416,474,5 Ave & E 29 St,40.7451677,-73.98683077,19006,Subscriber,1972,1
1183,1/1/2015 0:08,1/1/2015 0:28,405,Washington St & Gansevoort St,40.739323,-74.008119,174,E 25 St & 1 Ave,40.7381765,-73.97738662,17640,Subscriber,1985,2
846,1/1/2015 0:09,1/1/2015 0:23,450,W 49 St & 8 Ave,40.76227205,-73.98788205,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15691,Subscriber,1991,1
576,1/1/2015 0:10,1/1/2015 0:20,160,E 37 St & Lexington Ave,40.748238,-73.978311,174,E 25 St & 1 Ave,40.7381765,-73.97738662,17837,Subscriber,1991,1
540,1/1/2015 0:10,1/1/2015 0:19,291,Madison St & Montgomery St,40.713126,-73.984844,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,16947,Subscriber,1979,1
419,1/1/2015 0:11,1/1/2015 0:18,517,Pershing Square South,40.751581,-73.97791,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,14807,Subscriber,1980,1
751,1/1/2015 0:13,1/1/2015 0:25,290,2 Ave & E 58 St,40.76020258,-73.96478473,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16702,Subscriber,1987,1
332,1/1/2015 0:13,1/1/2015 0:18,361,Allen St & Hester St,40.71605866,-73.99190759,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,17342,Subscriber,1988,1
1099,1/1/2015 0:14,1/1/2015 0:32,317,E 6 St & Avenue B,40.72453734,-73.98185424,2012,E 27 St & 1 Ave,40.739445,-73.976806,19909,Subscriber,1983,1
649,1/1/2015 0:14,1/1/2015 0:25,488,W 39 St & 9 Ave,40.75645824,-73.99372222,434,9 Ave & W 18 St,40.74317449,-74.00366443,19584,Subscriber,1979,1
